step,embhub/entropy,embhub/logit_std,embhub/logit_scale,embhub/top10_anchor_mass,embhub/dead_anchor_frac,embhub/anchor_pairwise_cos,embhub/norm_ratio,train/loss,train/learning_rate
250,6.812469005584717,0.4383121430873871,14.021965026855469,0.01289072073996067,0,0.00035986019065603614,0.0021088281646370888,6.410940551757813,0.0001494
500,6.814332008361816,0.4327649176120758,14.021965026855469,0.012654242105782032,0,0.0012652078876271844,0.002446590457111597,5.513874816894531,0.00029939999999999996
750,6.815694332122803,0.449187695980072,14.021965026855469,0.012689469382166862,0,0.005284625105559826,0.0035292780958116055,4.815067291259766,0.0002999525523210755
1000,6.816298484802246,0.5068824887275696,14.021965026855469,0.012690775096416473,0,0.011986115016043186,0.004635005258023739,4.306766510009766,0.00029980947997320756
1250,6.816675186157227,0.5541737675666809,14.021965026855469,0.012690325267612934,0,0.02092673070728779,0.0056831445544958115,4.063471984863281,0.0002995708835700828
1500,6.817464828491211,0.5957894921302795,14.021965026855469,0.012653873302042484,0,0.030928190797567368,0.006582111120223999,3.901350402832031,0.00029923693217767504
1750,6.81881856918335,0.6244626045227051,14.021965026855469,0.012626033276319504,0,0.04267711564898491,0.007475920952856541,3.8079914093017577,0.00029880786242912947
2000,6.82086181640625,0.6471409797668457,14.021965026855469,0.012577013112604618,0,0.056762684136629105,0.008389312773942947,3.7242027282714845,0.00029828397835708815
2250,6.823428153991699,0.6524472236633301,14.021965026855469,0.012449345551431179,0,0.07435105741024017,0.009421109221875668,3.660187911987305,0.0002976656511782568
2500,6.826064109802246,0.650718092918396,14.021965026855469,0.012423698790371418,0,0.09428846836090088,0.010479845106601715,3.599190521240234,0.00029695331903036574
2750,6.8289031982421875,0.6417868137359619,14.021965026855469,0.012366528622806072,0,0.1169223040342331,0.011587530374526978,3.557037353515625,0.0002961474866617123
3000,6.831822872161865,0.6257768273353577,14.021965026855469,0.012312354519963264,0,0.14056573808193207,0.01264982484281063,3.5044734954833983,0.00029524872507350283
3250,6.834789276123047,0.6119874715805054,14.021965026855469,0.012247472070157528,0,0.1643652319908142,0.013656010851264,3.4764373779296873,0.00029425767111525
3500,6.837307929992676,0.5941485166549683,14.021965026855469,0.012216172181069851,0,0.1863211691379547,0.01453237235546112,3.452219772338867,0.00029317502703351
3750,6.839713096618652,0.5755215287208557,14.021965026855469,0.012174622155725956,0,0.20692618191242218,0.015308348461985588,3.430821990966797,0.0002920015599742812
4000,6.841949462890625,0.5586466193199158,14.021965026855469,0.012164715677499771,0,0.22661903500556946,0.016055021435022354,3.395213317871094,0.00029073810143941516
4250,6.844089031219482,0.5394902229309082,14.021965026855469,0.01215706393122673,0,0.24524599313735962,0.016718365252017975,3.388776397705078,0.0002893855466974266
4500,6.846071243286133,0.5161428451538086,14.021965026855469,0.012124884873628616,0,0.2629169821739197,0.017362378537654877,3.3509029388427733,0.00028794485414911883
4750,6.8478522300720215,0.4938594102859497,14.021965026855469,0.012110555544495583,0,0.27957022190093994,0.017916005104780197,3.3385169982910154,0.000286417044648475
5000,6.8493170738220215,0.4752459228038788,14.021965026855469,0.012106133624911308,0,0.2941162884235382,0.018398743122816086,3.326508331298828,0.00028480320077929546
5250,6.850726127624512,0.45953357219696045,14.021965026855469,0.01207552570849657,0,0.3083348572254181,0.018902061507105827,3.3067283630371094,0.0002831044660880948
5500,6.85214376449585,0.43964457511901855,14.021965026855469,0.012031344696879387,0,0.32212916016578674,0.019339291378855705,3.2919570922851564,0.0002813220442738007
